"";"FreqNdx";"order";"order_Freq";"date";"date_Freq";"customer";"customer_Freq";"item";"item_Freq";"amount";"amount_Freq";"quantity";"quantity_Freq";"price";"price_Freq"
"103";103;"11110030242";9;"2020/09/07";253;"11ELECOM17117";18;"48305";4;"22.92";196;;;"16.04";24
"104";104;"11110030390";9;"2020/09/08";477;"11ELECOM19434";18;"48306";6;"23";33;;;"16.25";9
"105";105;"11110030421";9;"2020/09/09";470;"11ELECOM26973";18;"48439";37;"23.33";209;;;"16.5";22
"106";106;"11110030534";9;"2020/09/10";364;"11ELECOM27564";18;"48440";34;"23.58";3;;;"16.665";83
"107";107;"11110034458";9;"2020/09/11";322;"11ELECOM28452";18;"48441";85;"23.75";212;;;"16.666";2
"108";108;"11110043749";9;"2020/09/12";495;"11ELECOM30443";18;"48442";34;"24";2;;;"16.66666667";14
"109";109;"11110047023";9;"2020/10/01";424;"11ELECOM31611";18;"48443";118;"24.17";52;;;"16.667";1
"110";110;"11110048569";9;"2020/10/02";562;"11ELECOM3417";18;"48444";86;"24.42";1;;;"16.6675";4
"111";111;"11110052306";9;"2020/10/03";632;"11ELECOM6197";18;"485";165;"24.58";649;;;"16.67";840
"112";112;"11110052557";9;"2020/10/04";171;"11ELECOM6609";18;"486";65;"24.67";2;;;"17.5";359
"113";113;"11110053145";9;"2020/10/05";224;"11ELECOM6757";18;"487";623;"25";1959;;;"17.67";1
"114";114;"11110053150";9;"2020/10/06";243;"11ELECOM8058";18;"488";88;"25.42";1;;;"17.71";24
"115";115;"11110054230";9;"2020/10/07";328;"11ELECOM14288";17;"48800";48;"25.83";492;;;"18";1
"116";116;"11110063042";9;"2020/10/08";490;"11ELECOM14307";17;"48801";287;"26";6;;;"18.33";98
"117";117;"11110063166";9;"2020/10/09";456;"11ELECOM17218";17;"48802";41;"26.42";2;;;"18.33333333";5
"118";118;"11110063503";9;"2020/10/10";329;"11ELECOM18838";17;"48803";69;"26.67";372;;;"18.334";2
"119";119;"11110075190";9;"2020/10/11";232;"11ELECOM211";17;"48804";160;"27.08";137;;;"18.335";13
"120";120;"11110075354";9;"2020/10/12";425;"11ELECOM23423";17;"48805";171;"27.17";2;;;"18.75";1966
"121";121;"11110075556";9;"2020/11/01";378;"11ELECOM23915";17;"48807";56;"27.33";24;;;"18.92";4
"122";122;"11110083738";9;"2020/11/02";580;"11ELECOM26200";17;"48808";31;"27.5";127;;;"18.96";26
"123";123;"11110091330";9;"2020/11/03";419;"11ELECOM26465";17;"48809";25;"27.92";47;;;"19.165";7
"124";124;"11110095091";9;"2020/11/04";142;"11ELECOM28832";17;"48810";9;"28";6;;;"19.1675";2
"125";125;"11110095516";9;"2020/11/05";214;"11ELECOM28856";17;"48811";8;"28.33";732;;;"19.17";69
"126";126;"11110095894";9;"2020/11/06";224;"11ELECOM2976";17;"48812";15;"28.5";1;;;"19.5";1
"127";127;"11110002172";8;"2020/11/07";296;"11ELECOM3972";17;"48813";220;"28.67";9;;;"19.58";8
"128";128;"11110004015";8;"2020/11/08";424;"11ELECOM4032";17;"48814";202;"28.75";378;;;"19.585";3
"129";129;"11110005356";8;"2020/11/09";389;"11ELECOM4121";17;"48815";195;"29";1;;;"19.83";5
"130";130;"11110005368";8;"2020/11/10";274;"11ELECOM47893";17;"48816";168;"29.17";1112;;;"20";535
"131";131;"11110005391";8;"2020/11/11";451;"11ELECOM4916";17;"48817";225;"29.58";151;;;"20.165";1
"132";132;"11110005397";8;"2020/11/12";458;"11ELECOM5268";17;"48818";167;"29.75";37;;;"20.17";13
"133";133;"11110005427";8;"2020/12/01";456;"11ELECOM5371";17;"48819";429;"30";357;;;"20.83";1087
"134";134;"11110005438";8;"2020/12/02";874;"11ELECOM6074";17;"48821";78;"30.12";8;;;"20.8325";3
"135";135;"11110005442";8;"2020/12/03";558;"11ELECOM6976";17;"48822";28;"30.42";62;;;"20.83333333";4
"136";136;"11110005447";8;"2020/12/04";144;"11ELECOM9061";17;"48824";154;"30.83";496;;;"20.83363636";1
"137";137;"11110005556";8;"2020/12/05";214;"11ELECOM11532";16;"48825";30;"31";1;;;"20.83375";1
"138";138;"11110005557";8;"2020/12/06";352;"11ELECOM12432";16;"48826";123;"31.25";28;;;"20.835";76
"139";139;"11110005592";8;"2020/12/07";338;"11ELECOM12620";16;"48827";261;"31.67";272;;;"21.33";1
"140";140;"11110005593";8;"2020/12/08";481;"11ELECOM12695";16;"48828";78;"32.08";703;;;"21.665";8
"141";141;"11110005594";8;"2020/12/09";390;"11ELECOM12837";16;"48830";22;"32.5";555;;;"21.67";74
"142";142;"11110005596";8;"2020/12/10";306;"11ELECOM12844";16;"48831";17;"32.67";1;;;"21.75";7
"143";143;"11110005604";8;"2020/12/11";372;"11ELECOM12915";16;"48832";1104;"32.92";555;;;"22.33";1
"144";144;"11110005615";8;"2020/12/12";535;"11ELECOM13364";16;"48834";185;"33";1;;;"22.5";9
"145";145;"11110005621";8;;;"11ELECOM1405";16;"48835";46;"33.25";438;;;"22.915";20
"146";146;"11110005641";8;;;"11ELECOM14144";16;"48836";197;"33.33";673;;;"22.91666667";2
"147";147;"11110005663";8;;;"11ELECOM14413";16;"48837";44;"33.34";8;;;"22.91714286";1
"148";148;"11110005664";8;;;"11ELECOM14516";16;"48838";173;"34.17";3;;;"22.92";196
"149";149;"11110005695";8;;;"11ELECOM1465";16;"48839";48;"34.58";81;;;"23";34
"150";150;"11110005702";8;;;"11ELECOM1472";16;"48840";9;"34.71";4;;;"23.33";204
"151";151;"11110005721";8;;;"11ELECOM15357";16;"48841";4;"35";711;;;"23.3325";1
